population,individual,continuity_false_t1,continuity_false_t2,continuity_true_t1,continuity_true_t2,LRT,p
CHB,HRR051935,0.01863608,0.08983258,0.03221759,0,1526.031223,-inf
CHB,HRR051936,0.01444244,0.05627209,0.01932601,0,216.0687587,-110.95254484
CHB,HRR051937,0.00901279,0.04860966,0.01587755,0,605.82664731,-306.34405583
CHB,HRR051938,0.00967624,0.27939164,0.00967623,0,2.47382559e-10,-1.25495261e-05
CHB,HRR051939,0.0137304,0.05084522,0.01588518,0,26.35570682,-15.07436697
CHB,HRR051940,0.00876183,0.01961686,0.00957246,0,3.84323105,-2.99678918
CHB,HRR051941,0.01586104,0.06137729,0.0248008,0,809.46761841,-408.30902053
CHB,HRR051942,0.03069744,0.38675892,0.0389287,0,315.99173744,-161.10265809
CHB,HRR051943,0.02273598,0.0583122,0.02831931,0,302.06037958,-154.11457824
CHB,HRR051944,0.02488067,0.13606121,0.03373189,0,760.77584313,-383.93219245
CHB,HRR051945,0.00708804,0.13631503,0.00708799,0,-1.8189894e-11,0.
CHB,HRR051946,0.49710442,0.12203349,0.74634912,0,1.73713044e-10,-1.05161933e-05
CHB,HRR051947,0.02069818,0.11683877,0.02537896,0,125.77902295,-65.54036441
CHB,HRR051948,0.01472598,0.18897891,0.01949809,0,109.68819736,-57.42762866
CHB,HRR051949,0.58353697,0.34984392,0.14854204,0,1.77803106e-10,-1.06392752e-05
CHB,HRR051950,0.00221728,0.21294956,0.00221745,0,-7.63975549e-11,0.
CHB,HRR051951,0.01027434,0.29329316,0.01027423,0,-1.74622983e-10,0.
CHB,HRR051952,0.02311991,0.8491745,0.61189033,0,-1.51704205e-10,0.
CHB,HRR051954,0.00159946,0.91722741,0.00159944,0,-2.91038305e-11,0.
CHB,HRR051955,0.02115529,0.12170775,0.02406333,0,51.31203495,-27.86939103
CHB,HRR051956,0.00377725,0.97519346,0.00377724,0,-2.32830644e-10,0.
CHB,HRR051958,0.24335847,0.43043986,0.23674294,0,6.52244925e-11,-6.44387066e-06
CHB,HRR051959,0.67402354,0.25973173,0.23537142,0,7.03750391e-11,-6.69346258e-06
CHB,HRR051960,0.009015,0.03928801,0.01000016,0,5.06562321,-3.71297016
CHS,HRR051935,0.02209097,0.09426719,0.03659258,0,1669.17598908,-inf
CHS,HRR051936,0.01637213,0.06615192,0.02225305,0,291.5616159,-148.84762587
CHS,HRR051937,0.01127358,0.05342013,0.01910214,0,738.60541913,-372.83223219
CHS,HRR051938,0.01005047,0.60696429,0.01005056,0,2.03726813e-10,-1.13885027e-05
CHS,HRR051939,0.01416232,0.07782752,0.01741427,0,57.11377134,-30.8220012
CHS,HRR051940,0.00926075,0.04728746,0.01116076,0,20.42309915,-11.98973637
CHS,HRR051941,0.01764997,0.06658887,0.02764405,0,948.02521922,-477.66664357
CHS,HRR051942,0.02609521,0.37898698,0.03442104,0,304.59502664,-155.38605276
CHS,HRR051943,0.01945336,0.05541179,0.0247742,0,274.44922269,-140.26139688
CHS,HRR051944,0.02077756,0.13006058,0.02919528,0,695.05607745,-351.02725994
CHS,HRR051945,0.0028591,0.39639404,0.0028592,0,3.27418093e-11,-4.5655425e-06
CHS,HRR051946,0.51079215,0.12696592,0.82845422,0,4.48951987e-12,-1.6905981e-06
CHS,HRR051947,0.01663164,0.09867446,0.02064294,0,91.93409879,-48.46397306
CHS,HRR051948,0.00875852,0.16722864,0.01331775,0,88.59314268,-46.77537539
CHS,HRR051949,0.05263697,0.67641667,0.16755818,0,5.75803849e-11,-6.05450522e-06
CHS,HRR051950,1.00000000e-10,9.10093635e-01,1.00000000e-10,0,-5.82076609e-11,0.
CHS,HRR051951,0.00287558,0.11470065,0.00287556,0,1.23691279e-10,-8.87383868e-06
CHS,HRR051952,0.30350771,0.8360201,0.57579097,0,1.34955824e-10,-9.26910689e-06
CHS,HRR051954,1.00000000e-10,8.14710159e-01,1.00000000e-10,0,0.,0.
CHS,HRR051955,0.01889912,0.10353542,0.02142071,0,37.87443546,-21.00499976
CHS,HRR051956,0.00115892,0.00762135,0.00115893,0,0.,0.
CHS,HRR051958,0.15380199,0.66144381,0.95147046,0,-3.57294194e-11,0.
CHS,HRR051959,0.82985558,0.87003192,0.30953774,0,1.84780191e-10,-1.08460131e-05
CHS,HRR051960,0.00759962,0.04564434,0.00872731,0,6.7167266,-4.65108037
CDX,HRR051935,0.02954622,0.10475159,0.04633343,0,2041.33361822,-inf
CDX,HRR051936,0.02427322,0.08444167,0.03188562,0,457.53117287,-232.05647412
CDX,HRR051937,0.01985531,0.06318708,0.02947889,0,997.49562188,-502.42722618
CDX,HRR051938,0.01963305,0.78382006,0.01963311,0,-9.4587449e-10,0.
CDX,HRR051939,0.02056,0.12272778,0.02555997,0,128.88596403,-67.10585114
CDX,HRR051940,0.01691769,0.0985132,0.02076315,0,80.08629621,-42.47261066
CDX,HRR051941,0.02630752,0.07630845,0.03810492,0,1220.08340302,-613.82164805
CDX,HRR051942,0.02695156,0.34976821,0.03466995,0,271.5860488,-138.82460405
CDX,HRR051943,0.01908734,0.04828255,0.02368506,0,210.39599049,-108.10298005
CDX,HRR051944,0.02065437,0.12510462,0.02890449,0,652.25298469,-329.59402726
CDX,HRR051945,0.00351661,0.35981951,0.00351669,0,1.8189894e-11,-3.40295248e-06
CDX,HRR051946,0.34970071,0.58583664,0.74264687,0,4.24464908e-11,-5.19830893e-06
CDX,HRR051947,0.01818272,0.09552225,0.02206644,0,86.80316445,-45.87040109
CDX,HRR051948,0.01178446,0.18094923,0.01650414,0,100.11056466,-52.59396229
CDX,HRR051949,3.82331725e-01,7.62959366e-01,0.80943013,0,1.41272327e-10,-9.48354415e-06
CDX,HRR051950,0.00177667,0.45392018,0.00177672,0,9.82254278e-11,-7.90776479e-06
CDX,HRR051951,0.00432129,0.91255654,0.00432118,0,3.01952241e-10,-1.3864755e-05
CDX,HRR051952,0.5455881,0.63669094,0.83744732,0,5.84938764e-11,-6.10234263e-06
CDX,HRR051954,0.00096673,0.07464476,0.00096673,0,7.63975549e-11,-6.97398976e-06
CDX,HRR051955,0.01881273,0.09075111,0.02103209,0,29.65607748,-16.77992583
CDX,HRR051956,1.00000000e-10,3.73305854e-01,1.00000000e-10,0,1.01863407e-10,-8.05287408e-06
CDX,HRR051958,0.44179959,0.50247774,0.18116996,0,1.09600107e-10,-8.35309391e-06
CDX,HRR051959,0.46403309,0.97239883,0.54439748,0,2.1850588e-10,-1.17943548e-05
CDX,HRR051960,0.01106433,0.06830499,0.01269833,0,14.31633707,-8.77519968
JPT,HRR051935,0.02395045,0.09069968,0.03826089,0,1533.54360386,-inf
JPT,HRR051936,0.02105655,0.06639056,0.02709411,0,288.3426349,-147.23262207
JPT,HRR051937,0.01410976,0.05092741,0.02170203,0,654.2289983,-330.58354194
JPT,HRR051938,0.01752139,0.10343925,0.01752128,0,9.89530236e-10,-2.50992096e-05
JPT,HRR051939,0.0165352,0.07252125,0.01964162,0,49.75272586,-27.07486428
JPT,HRR051940,0.01345238,0.04239502,0.01516512,0,16.48110206,-9.92088983
JPT,HRR051941,0.01986738,0.0610099,0.02911879,0,794.51401734,-400.82292003
JPT,HRR051942,0.03750601,0.44089743,0.04620279,0,364.80983605,-185.58312011
JPT,HRR051943,0.02843701,0.06911968,0.03520728,0,406.38059145,-206.42217794
JPT,HRR051944,0.03063025,0.15775447,0.0409313,0,951.61085391,-479.4613445
JPT,HRR051945,0.01055218,0.43803529,0.01055216,0,-4.00177669e-11,0.
JPT,HRR051946,0.31443178,0.03239724,0.44804969,0,-2.63675748e-11,0.
JPT,HRR051947,0.02859805,0.16614122,0.03487111,0,222.90486809,-114.38603492
JPT,HRR051948,0.02116179,0.26071151,0.02731933,0,179.23059411,-92.44092866
JPT,HRR051949,0.34991881,0.02611733,0.55188368,0,1.02846176e-10,-8.09162771e-06
JPT,HRR051950,0.01217909,0.68166004,0.0121791,0,4.72937245e-11,-5.48710172e-06
JPT,HRR051951,0.01599537,0.44371073,0.01599537,0,-2.25554686e-10,0.
JPT,HRR051952,0.27627003,0.48492754,0.12742306,0,4.87228036e-11,-5.56938712e-06
JPT,HRR051954,0.00641009,0.0729053,0.00640993,0,-6.98491931e-10,0.
JPT,HRR051955,0.02996185,0.18818097,0.03410399,0,103.73133911,-54.42178135
JPT,HRR051956,0.01097062,0.62738948,0.01097042,0,1.65891834e-09,-3.24982236e-05
JPT,HRR051958,0.37056395,0.65871794,0.31349398,0,5.10851361e-11,-5.70280573e-06
JPT,HRR051959,0.98493892,0.70092936,0.71459907,0,-3.97517574e-11,0.
JPT,HRR051960,0.01497068,0.09589393,0.01728736,0,26.34006342,-15.06626755
KHV,HRR051935,0.02450981,0.10570443,0.04097143,0,2089.06785721,-inf
KHV,HRR051936,0.01794471,0.0766895,0.0248459,0,392.23450679,-199.33150814
KHV,HRR051937,0.01433597,0.06349386,0.02376053,0,1023.5121238,-515.44832553
KHV,HRR051938,0.01297716,0.58624821,0.01297715,0,4.36557457e-11,-5.27183625e-06
KHV,HRR051939,0.01536894,0.0949914,0.01930999,0,85.003497,-44.96032284
KHV,HRR051940,0.01119693,0.06567396,0.01381286,0,39.38482625,-21.77884554
KHV,HRR051941,0.02018158,0.07495333,0.03139469,0,1190.84868925,-599.19218472
