population,individual,continuity_false_t1,continuity_false_t2,continuity_true_t1,continuity_true_t2,LRT,p
CHB,HRR051935,0.01903,0.09050148,0.03308722,0,1654.70047124,-inf
CHB,HRR051936,0.01463805,0.0553914,0.01992225,0,253.78912156,-129.89250618
CHB,HRR051937,0.00930309,0.04944527,0.01647119,0,660.23898265,-333.59309252
CHB,HRR051938,0.01556538,0.0704739,0.01769406,0,13.09632711,-8.12557242
CHB,HRR051939,0.0144321,0.05760057,0.01768379,0,57.87844762,-31.21077581
CHB,HRR051940,0.00984299,0.02281588,0.01093128,0,7.37916749,-5.02093252
CHB,HRR051941,0.01660732,0.06230383,0.02597993,0,884.55211515,-445.89551698
CHB,HRR051942,0.03805104,0.23358967,0.0469394,0,331.84271051,-169.05246826
CHB,HRR051943,0.02410734,0.05364529,0.02969496,0,297.64203034,-151.89808426
CHB,HRR051944,0.02590937,0.1179003,0.03472169,0,743.61904351,-375.34241782
CHB,HRR051945,2.94206923e-03,9.95154884e+00,0.0141692,0,-77.08512105,0.
CHB,HRR051946,0.01079798,0.35790706,0.01289147,0,6.21472675,-4.36858217
CHB,HRR051947,0.02265926,0.08884986,0.02721044,0,118.67141825,-61.9579358
CHB,HRR051948,0.01656328,0.15551575,0.02285846,0,173.99125375,-89.80658783
CHB,HRR051949,0.01885601,0.24850925,0.01965285,0,0.8520724,-1.03291802
CHB,HRR051950,0.00573826,0.3477202,0.00847478,0,11.77325506,-7.41711843
CHB,HRR051951,0.01064613,0.20847203,0.01203018,0,4.17661806,-3.19453915
CHB,HRR051952,0.00863662,0.36639766,0.00924254,0,1.36387982,-1.41524459
CHB,HRR051954,1.00000000e-10,9.99982581e+00,0.00248992,0,-66.13322654,0.
CHB,HRR051955,0.02285004,0.10873504,0.02651553,0,69.41187532,-37.06567938
CHB,HRR051956,0.0072023,0.2754583,0.01183259,0,60.30193435,-32.44238676
CHB,HRR051958,0.00687241,0.43522178,0.00809539,0,3.35817058,-2.70497017
CHB,HRR051959,0.02513714,0.10504585,0.02542673,0,0.1551533,-0.36577546
CHB,HRR051960,0.01060761,0.04071243,0.01197245,0,8.73312607,-5.76838405
CHS,HRR051935,0.02248759,0.09466594,0.03749732,0,1800.10917684,-inf
CHS,HRR051936,0.01684473,0.06251313,0.02298694,0,319.54974344,-162.88722484
CHS,HRR051937,0.01156054,0.05383375,0.01963461,0,789.86180638,-398.49388561
CHS,HRR051938,0.01651618,0.10095308,0.01951288,0,24.87726569,-14.30818973
CHS,HRR051939,0.01548282,0.074457,0.01965467,0,91.80320032,-48.39782613
CHS,HRR051940,0.01045116,0.04508142,0.01260929,0,26.959808,-15.38702495
CHS,HRR051941,0.01844186,0.06717585,0.02888045,0,1025.52806626,-516.4572787
CHS,HRR051942,0.0340873,0.22161411,0.042651,0,301.64554406,-153.90647781
CHS,HRR051943,0.02068669,0.05075687,0.02596612,0,267.36231237,-136.70495579
CHS,HRR051944,0.02176872,0.11178778,0.0300755,0,669.95251132,-338.45713754
CHS,HRR051945,0.0050227,0.31000647,0.00811525,0,13.67024815,-8.43157002
CHS,HRR051946,2.97362689e-03,9.45344109e+00,0.01054913,0,-38.81400667,0.
CHS,HRR051947,0.01819449,0.07602216,0.02211757,0,88.12488642,-46.53865436
CHS,HRR051948,0.0106532,0.1432627,0.01672932,0,150.08687105,-77.78138932
CHS,HRR051949,0.01298603,0.18604198,0.01360315,0,0.54528081,-0.77598027
CHS,HRR051950,1.00000000e-10,9.95449595e+00,0.00496077,0,-73.42198913,0.
CHS,HRR051951,0.003904,0.21871121,0.00534194,0,4.50914346,-3.38983854
CHS,HRR051952,0.00705373,0.33418049,0.00766951,0,1.24901467,-1.33278865
CHS,HRR051954,1.00000000e-10,9.86098571e+00,1.00000000e-10,0,-78.70970623,0.
CHS,HRR051955,0.02046876,0.08889571,0.02349308,0,47.29665191,-25.82246436
CHS,HRR051956,0.00400351,0.22778644,0.00797068,0,43.99680077,-24.13781285
CHS,HRR051958,0.00123576,0.36100868,0.00227655,0,2.48785847,-2.16519345
CHS,HRR051959,0.02007885,0.10380048,0.0203499,0,0.144699,-0.35146916
CHS,HRR051960,0.00930568,0.04353715,0.01069712,0,9.7547448,-6.32631946
CDX,HRR051935,0.02999662,0.10442168,0.04720264,0,2170.30896692,-inf
CDX,HRR051936,0.02495148,0.07625375,0.03260307,0,462.84966246,-234.72147271
CDX,HRR051937,0.02021909,0.06340031,0.0301121,0,1058.92202915,-533.17025142
CDX,HRR051938,0.02673777,0.15024973,0.03093427,0,50.15709343,-27.28094757
CDX,HRR051939,0.02311579,0.10396444,0.02900602,0,169.2224255,-87.40843561
CDX,HRR051940,0.018576,0.08364975,0.02256984,0,85.57493797,-45.24931904
CDX,HRR051941,0.0272257,0.07655569,0.03945307,0,1306.14814772,-656.88804823
CDX,HRR051942,0.03422883,0.20491173,0.04209056,0,265.20765857,-135.62361293
CDX,HRR051943,0.02019353,0.0450757,0.02485802,0,212.87568014,-109.34862924
CDX,HRR051944,0.02194012,0.10820326,0.03004845,0,632.37390593,-319.63905988
CDX,HRR051945,0.00507575,0.36306327,0.00857327,0,17.1815424,-10.28997046
CDX,HRR051946,0.00863407,0.30673259,0.01043161,0,4.94676927,-3.64430877
CDX,HRR051947,0.01970192,0.07390113,0.02351962,0,83.803263,-44.3532549
CDX,HRR051948,0.01361369,0.14791811,0.01976618,0,158.44626269,-81.98784512
CDX,HRR051949,0.02032596,0.23605495,0.02114143,0,0.86246144,-1.04114335
CDX,HRR051950,0.00370487,0.30841828,0.00604676,0,9.22208135,-6.03598686
CDX,HRR051951,0.00462265,0.20425838,0.00599222,0,4.11675179,-3.15918035
CDX,HRR051952,0.00394541,0.30564091,0.00449633,0,1.11773768,-1.23647495
CDX,HRR051954,1.00000000e-10,3.44903104e-01,0.00214712,0,10.40897852,-6.68138421
CDX,HRR051955,0.02011382,0.08071642,0.02287389,0,39.3418465,-21.75683448
CDX,HRR051956,0.00323514,0.22454324,0.00723038,0,42.17986508,-23.20913953
CDX,HRR051958,0.00321966,0.36567512,0.00427125,0,2.49142007,-2.16745649
CDX,HRR051959,0.01610123,0.09050809,0.0163445,0,0.11869149,-0.3140835
CDX,HRR051960,0.01263678,0.06530554,0.01472831,0,21.05371248,-12.3190471
JPT,HRR051935,0.02448362,0.09133038,0.03930031,0,1660.05603608,-inf
JPT,HRR051936,0.02169751,0.06265077,0.02804316,0,316.47291457,-161.34400271
JPT,HRR051937,0.01448548,0.0513259,0.02230458,0,699.51359938,-353.25920815
JPT,HRR051938,0.02318235,0.0685804,0.02521636,0,12.09863432,-7.59176896
JPT,HRR051939,0.01837917,0.07198659,0.02254666,0,85.91075995,-45.41914512
JPT,HRR051940,0.01476382,0.04000723,0.01671186,0,21.32092117,-12.45846812
JPT,HRR051941,0.02077662,0.06181998,0.03046439,0,865.58096452,-436.39912605
JPT,HRR051942,0.04538774,0.25507886,0.05463312,0,368.72358463,-187.54530122
JPT,HRR051943,0.02985635,0.06227135,0.03652657,0,387.44972905,-196.93301347
JPT,HRR051944,0.03191631,0.13111283,0.0418788,0,874.52789196,-440.87771965
JPT,HRR051945,6.30558790e-03,9.92071891e+00,0.01792325,0,-50.45827449,0.
JPT,HRR051946,0.01551192,9.36300591,0.02212957,0,-29.25170961,0.
JPT,HRR051947,0.03105122,0.11880315,0.03691361,0,193.23408826,-99.47989642
JPT,HRR051948,0.02390723,0.19464985,0.03151452,0,244.78637522,-125.3732162
JPT,HRR051949,0.03100131,0.31960624,0.03199283,0,1.21764686,-1.30998927
JPT,HRR051950,0.01585638,0.39076867,0.01872268,0,12.76573002,-7.94896378
JPT,HRR051951,0.01675577,0.25142483,0.01833135,0,5.47428048,-3.94773809
JPT,HRR051952,0.01819192,0.34748018,0.01871216,0,1.24183983,-1.32758491
JPT,HRR051954,0.00572903,0.39004929,0.00788908,0,11.62075215,-7.33515896
JPT,HRR051955,0.03232054,0.15534309,0.03722178,0,123.57357672,-64.4289329
JPT,HRR051956,0.015316,0.33220695,0.02062669,0,77.05748415,-40.93939028
JPT,HRR051958,0.01786377,0.47941685,0.01915009,0,3.51353847,-2.79902599
JPT,HRR051959,0.03164995,0.32786523,0.03244354,0,1.09942792,-1.22284413
JPT,HRR051960,0.01663252,0.08498833,0.01939405,0,33.45694841,-18.73732466
KHV,HRR051935,0.0248937,0.10576318,0.04184255,0,2236.94656535,-inf
KHV,HRR051936,0.0181826,0.07346395,0.02554994,0,441.74545135,-224.14613501
KHV,HRR051937,0.01457494,0.06373363,0.02424035,0,1085.57447296,-546.50887919
KHV,HRR051938,0.01998339,0.10974873,0.02319909,0,29.67242702,-16.78836014
KHV,HRR051939,0.01727385,0.08860878,0.02234025,0,131.71843875,-68.53279701
KHV,HRR051940,0.01223249,0.05875967,0.01504601,0,45.67814627,-24.99648105
KHV,HRR051941,0.02103281,0.07552568,0.03271816,0,1285.03926706,-646.32547384
KHV,HRR051942,0.03062051,0.19017826,0.03802987,0,242.15116736,-124.05024399
KHV,HRR051943,0.01691535,0.04622368,0.02162186,0,227.61000732,-116.74895809
KHV,HRR051944,0.01741663,0.10454802,0.02511543,0,611.06323423,-308.96663854
KHV,HRR051945,0.00274157,0.33106873,0.00593886,0,15.71480681,-9.51624878
KHV,HRR051946,0.00551177,0.24881184,0.00697492,0,3.63999843,-2.87516224
