population,individual,continuity_false_t1,continuity_false_t2,continuity_true_t1,continuity_true_t2,LRT,p
CHB,HRR051935,0.01902994,0.09050151,0.03308707,0,1654.70047122,-inf
CHB,HRR051936,0.01463788,0.05539085,0.01992201,0,253.78912153,-129.89250616
CHB,HRR051937,0.00930302,0.04944544,0.01647085,0,660.23898272,-333.59309256
CHB,HRR051938_HRR051939_HRR051940,0.01203387,0.10210084,0.03533866,0,1665.23226146,-inf
CHB,HRR051941,0.0166076,0.0623037,0.02597997,0,884.55211509,-445.89551695
CHB,HRR051942,0.03805106,0.23358996,0.04693937,0,331.84271051,-169.05246826
CHB,HRR051943_HRR051944,0.02410738,0.05364567,0.02969498,0,297.64203033 743.61904357,-151.89808426 -375.34241785
CHB,HRR051945_HRR051946,0.01106659,0.22119158,0.01678161,0,41.59746259,-22.91128444
CHB,HRR051947_HRR051948_HRR051949_HRR051950_HRR051951_HRR051952_HRR051954,0.01887736,0.08235236,0.03563879,0,851.19726327,-429.19891633
CHB,HRR051955_HRR051956_HRR051958_HRR051959,0.01911138,0.07977729,0.02657131,0,180.56838402,-93.11350156
CHB,HRR051960,0.01060766,0.04071164,0.01197235,0,8.73312607,-5.76838405
CHS,HRR051935,0.02248767,0.09466658,0.03749722,0,1800.1091768,-inf
CHS,HRR051936,0.01684464,0.06251242,0.02298682,0,319.5497435,-162.88722487
CHS,HRR051937,0.0115605,0.05383448,0.01963466,0,789.86180633,-398.49388558
CHS,HRR051938_HRR051939_HRR051940,0.01320203,0.11079864,0.03861991,0,1886.59030045,-inf
CHS,HRR051941,0.01844198,0.06717611,0.02888059,0,1025.52806627,-516.4572787
CHS,HRR051942,0.03408714,0.22161644,0.04265078,0,301.64554408,-153.90647782
CHS,HRR051943_HRR051944,0.0206867,0.05075677,0.02596615,0,267.36231236 669.95251135,-136.70495579 -338.45713756
CHS,HRR051945_HRR051946,0.00686778,0.19570265,0.01184016,0,33.97228547,-19.00223821
CHS,HRR051947_HRR051948_HRR051949_HRR051950_HRR051951_HRR051952_HRR051954,0.01377986,0.07419356,0.0290849,0,709.81544713,-358.41742131
CHS,HRR051955_HRR051956_HRR051958_HRR051959,0.01629898,0.06697114,0.02255768,0,131.61484348,-68.48061174
CHS,HRR051960,0.0093056,0.0435384,0.01069726,0,9.75474478,-6.32631945
CDX,HRR051935,0.02999638,0.10442136,0.04720266,0,2170.30896696,-inf
CDX,HRR051936,0.0249514,0.07625605,0.03260307,0,462.84966279,-234.72147288
CDX,HRR051937,0.02021908,0.06340026,0.03011202,0,1058.92202911,-533.1702514
CDX,HRR051938_HRR051939_HRR051940,0.02151464,0.12955079,0.05111219,0,2401.78164786,-inf
CDX,HRR051941,0.02722581,0.07655525,0.0394534,0,1306.14814755,-656.88804815
CDX,HRR051942,0.03422904,0.20491202,0.04209068,0,265.20765857,-135.62361294
CDX,HRR051943_HRR051944,0.02019344,0.04507501,0.02485791,0,212.87568009 632.37390595,-109.34862921 -319.63905989
CDX,HRR051945_HRR051946,0.00661644,0.2064343,0.01227564,0,36.51329654,-20.3070034
CDX,HRR051947_HRR051948_HRR051949_HRR051950_HRR051951_HRR051952_HRR051954,0.01602457,0.07247918,0.03089828,0,679.36252841,-343.1690996
